Merritt College	[['CS 47 - Introduction to Computer Systems (3.00)']]	[[['CIS 78 - Digital Architectures for Computation (4.00)']]]
Merritt College	[['BIOL 30 - Principles of Biology I (4.00)', 'BIOL 31 - Principles of Biology II (4.00)']]	[[['BIOL 1A - General Biology (5.00)', 'BIOL 1B - General Biology (5.00)']], [['BIOL 1A - General Biology (5.00)', 'BIOL 1B - General Biology (5.00)']]]
Santa Ana College	[['MATH 30 - Calculus I (3.00)']]	[[['MATH 180 - Single Variable Calculus I (4.00)']]]
Santa Ana College	[['MATH 31 - Calculus II (4.00)']]	[[['MATH 185 - Single Variable Calculus II (4.00)']]]
Santa Ana College	[['MATH 42 - Discrete Mathematics (3.00)']]	[[['CMPR 140 - Discrete Structures for Computer Science (3.00)']]]
Santa Ana College	[['MATH 39 - Linear Algebra I (3.00)']]	[[['MATH 287 - Introduction to Linear Algebra and Differential Equations(5.00)']]]
Santa Ana College	[['MATH 32 - Calculus III (3.00)']]	[[['MATH 280 - Intermediate Calculus (4.00)']]]
Santa Ana College	[['CS 46A - Introduction to Programming (4.00)']]	[[['No Course Articulated']]]
Santa Ana College	[['CS 46B - Introduction to Data Structures (4.00)']]	[[['No Course Articulated']]]
Santa Ana College	[['CS 47 - Introduction to Computer Systems (3.00)']]	[[['CMPR 129 - Introduction to Computer Organization (4.00)']]]
Santa Ana College	[['BIOL 30 - Principles of Biology I (4.00)', 'BIOL 31 - Principles of Biology II (4.00)']]	[[['BIOL 211 - Cellular and Molecular Biology (5.00)', 'BIOL 212 - Animal Diversity and Ecology (5.00)', 'BIOL 214 - Plant Diversity and Evolution (5.00)']], [['BIOL 211 - Cellular and Molecular Biology (5.00)', 'BIOL 212 - Animal Diversity and Ecology (5.00)', 'BIOL 214 - Plant Diversity and Evolution (5.00)']]]
Cuesta College	[['MATH 30 - Calculus I (3.00)']]	[[['MATH 265A - Calculus I (5.00)']]]
Cuesta College	[['MATH 31 - Calculus II (4.00)']]	[[['MATH 265B - Calculus II (5.00)']]]
Cuesta College	[['MATH 42 - Discrete Mathematics (3.00)']]	[[['CIS 241 - Discrete Structures (3.00)']]]
Cuesta College	[['MATH 39 - Linear Algebra I (3.00)']]	[[['MATH 287 - Ordinary Differential Equations and Linear Algebra (5.00)']]]
Cuesta College	[['MATH 32 - Calculus III (3.00)']]	[[['MATH 283 - Calculus III: Multivariable Calculus (5.00)']]]
Cuesta College	[['CS 46A - Introduction to Programming (4.00)']]	[[['CIS 231 - Fundamentals of Computer Science I (4.00)']]]
Cuesta College	[['CS 46B - Introduction to Data Structures (4.00)']]	[[['CIS 232 - Fundamentals of Computer Science II (2.00)']]]
Cuesta College	[['CS 47 - Introduction to Computer Systems (3.00)']]	[[['CIS 240 - Microcomputer Architecture and Programming (3.00)']]]
Cuesta College	[['BIOL 30 - Principles of Biology I (4.00)', 'BIOL 31 - Principles of Biology II (4.00)']]	[[['BIO 201A - Biology (5.00)', 'BIO 201B - Biology (5.00)']], [['BIO 201A - Biology (5.00)', 'BIO 201B - Biology (5.00)']]]
