Community College	Median coverage	Max coverage	Min coverage	Q1	Q2	IQR
Mt. San Jacinto College	0.6444444444444445	1.0	0.0	0.47646057855927393	0.80625	0.3297894214407261
Los Medanos College	0.6444444444444445	1.0	0.0	0.46511627906976744	0.8064516129032258	0.3413353338334583
West Valley College	0.6444444444444445	1.0	0.14285714285714285	0.4782608695652174	0.7931034482758621	0.3148425787106447
Los Angeles City College	0.6436507936507937	1.0	0.0	0.4969512195121951	0.9	0.4030487804878049
Mount San Antonio College	0.6436507936507937	1.0	0.2857142857142857	0.5279277408637875	0.7472826086956521	0.21935486783186464
Hartnell College	0.6436507936507937	1.0	0.1935483870967742	0.5862068965517241	0.8488888888888889	0.2626819923371648
Los Angeles Harbor College	0.6428571428571429	1.0	0.0	0.4107142857142857	0.8397190293742018	0.42900474365991614
Saddleback College	0.6428571428571429	1.0	0.17391304347826086	0.4834975369458128	0.7941919191919192	0.3106943822461064
MiraCosta College	0.6428571428571429	1.0	0.17391304347826086	0.5555555555555556	0.84	0.2844444444444444
Shasta College	0.6428571428571429	1.0	0.14285714285714285	0.37484035759897827	0.8987179487179487	0.5238775911189705
Yuba College	0.6428571428571429	1.0	0.14285714285714285	0.42857142857142855	0.84	0.4114285714285714
San Bernardino Valley College	0.6428571428571429	1.0	0.14285714285714285	0.3811684628474192	0.8287037037037037	0.44753524085628454
College of the Canyons	0.6416666666666666	1.0	0.0	0.4840201850294365	0.7987179487179488	0.31469776368851227
Norco College	0.6388888888888888	1.0	0.0	0.44074074074074077	0.80625	0.36550925925925926
West Los Angeles College	0.6388888888888888	1.0	0.0	0.37209302325581395	0.8974358974358975	0.5253428741800835
Mendocino College	0.6388888888888888	1.0	0.0	0.27906976744186046	0.8064516129032258	0.5273818454613652
Gavilan College	0.6363636363636364	1.0	0.14285714285714285	0.4782608695652174	0.8518518518518519	0.37359098228663445
Ventura College	0.6363636363636364	1.0	0.13043478260869565	0.5517241379310345	0.71875	0.16702586206896552
College of the Siskiyous	0.6363636363636364	1.0	0.14285714285714285	0.36363636363636365	0.7948717948717948	0.4312354312354312
Chaffey College	0.632996632996633	1.0	0.14285714285714285	0.41224814422057265	0.793123543123543	0.3808753989029704
College of the Sequoias	0.6225296442687747	1.0	0.14285714285714285	0.5075757575757576	0.8093841642228738	0.3018084066471163
Allan Hancock College	0.6206896551724138	1.0	0.1935483870967742	0.5287267080745341	0.8742017879948915	0.3454750799203573
San Diego Miramar College	0.6117511520737328	1.0	0.0	0.3855400696864112	0.73989898989899	0.35435892021257875
Clovis Community College	0.6006674082313682	1.0	0.0	0.3766307430516166	0.886039886039886	0.5094091429882694
Berkeley City College	0.5882352941176471	0.8888888888888888	0.0	0.37209302325581395	0.7272727272727273	0.35517970401691334
Crafton Hills College	0.5882352941176471	1.0	0.0	0.49390243902439024	0.8969938107869142	0.40309137176252396
Laney College	0.5862068965517241	1.0	0.08333333333333333	0.46511627906976744	0.68	0.2148837209302326
Los Angeles Mission College	0.5862068965517241	1.0	0.0	0.2857142857142857	0.9	0.6142857142857143
Santiago Canyon College	0.5834260289210234	1.0	0.0	0.38204373423044574	0.8038194444444444	0.4217757102139987
Copper Mountain College	0.5834260289210234	1.0	0.0	0.38570618264322176	0.8967727674624226	0.5110665848192009
Bakersfield College	0.56	1.0	0.1935483870967742	0.3793103448275862	0.8125	0.4331896551724138
College of Marin	0.5555555555555556	1.0	0.0	0.3618181818181818	0.7525252525252526	0.3907070707070708
