Community College	Median coverage	Max coverage	Min coverage	Q1	Q2	IQR
Cerro Coso Community College	0.8	1.0	0.0	0.6	1.0	0.4
American River College	0.8	1.0	0.0	0.7136363636363636	1.0	0.2863636363636364
College of the Desert	0.8	1.0	0.0	0.6055555555555556	1.0	0.3944444444444444
Fresno City College	0.8	1.0	0.0	0.7136363636363636	1.0	0.2863636363636364
Cabrillo College	0.8	1.0	0.0	0.7136363636363636	1.0	0.2863636363636364
Los Angeles Mission College	0.8	1.0	0.0	0.6111111111111112	1.0	0.38888888888888884
Pasadena City College	0.8	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
Modesto Junior College	0.8	1.0	0.0	0.6666666666666666	1.0	0.33333333333333337
Mt. San Jacinto College	0.8	1.0	0.0	0.6388888888888888	1.0	0.36111111111111116
San Diego City College	0.8	1.0	0.0	0.6833333333333333	1.0	0.31666666666666665
Golden West College	0.8	1.0	0.0	0.625	1.0	0.375
Berkeley City College	0.8	1.0	0.0	0.6111111111111112	1.0	0.38888888888888884
Rio Hondo College	0.8	1.0	0.0	0.6027777777777777	1.0	0.39722222222222225
Saddleback College	0.8	1.0	0.0	0.6166666666666667	1.0	0.3833333333333333
Santiago Canyon College	0.8	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
Canada College	0.8	1.0	0.0	0.6666666666666666	1.0	0.33333333333333337
Chaffey College	0.8	1.0	0.0	0.625	1.0	0.375
Crafton Hills College	0.8	1.0	0.0	0.55	1.0	0.44999999999999996
Gavilan College	0.8	1.0	0.0	0.6666666666666666	1.0	0.33333333333333337
Riverside City College	0.8	1.0	0.0	0.6055555555555556	1.0	0.3944444444444444
Bakersfield College	0.8	1.0	0.0	0.6666666666666666	1.0	0.33333333333333337
Los Angeles Pierce College	0.8	1.0	0.0	0.6111111111111112	1.0	0.38888888888888884
Oxnard College	0.8	1.0	0.0	0.5714285714285714	1.0	0.4285714285714286
West Los Angeles College	0.8	1.0	0.0	0.6	1.0	0.4
Santa Barbara City College	0.8	1.0	0.0	0.6666666666666666	1.0	0.33333333333333337
Ventura College	0.8	1.0	0.0	0.6666666666666666	1.0	0.33333333333333337
San Diego Mesa College	0.8	1.0	0.0	0.6833333333333333	1.0	0.31666666666666665
College of the Siskiyous	0.8	1.0	0.0	0.6111111111111112	1.0	0.38888888888888884
Antelope Valley College	0.8	1.0	0.0	0.4722222222222222	1.0	0.5277777777777778
Fullerton College	0.8	1.0	0.0	0.6833333333333333	1.0	0.31666666666666665
Norco College	0.8	1.0	0.0	0.6055555555555556	1.0	0.3944444444444444
Moreno Valley College	0.8	1.0	0.0	0.6055555555555556	1.0	0.3944444444444444
College of San Mateo	0.7928571428571429	1.0	0.0	0.6590909090909091	1.0	0.34090909090909094
College of the Sequoias	0.7928571428571429	1.0	0.0	0.6083333333333334	1.0	0.3916666666666666
Butte College	0.7928571428571429	1.0	0.0	0.6527777777777778	1.0	0.3472222222222222
City College of San Francisco	0.7928571428571429	1.0	0.0	0.625	1.0	0.375
San Diego Miramar College	0.7928571428571429	1.0	0.0	0.6590909090909091	1.0	0.34090909090909094
Ohlone College	0.7928571428571429	1.0	0.0	0.7068181818181818	1.0	0.2931818181818182
College of Marin	0.7857142857142857	1.0	0.0	0.55	1.0	0.44999999999999996
Merced College	0.7857142857142857	1.0	0.0	0.6833333333333333	1.0	0.31666666666666665
Contra Costa College	0.7857142857142857	1.0	0.0	0.7136363636363636	1.0	0.2863636363636364
Mission College	0.7857142857142857	1.0	0.0	0.6333333333333333	1.0	0.3666666666666667
Shasta College	0.7857142857142857	1.0	0.0	0.6055555555555556	1.0	0.3944444444444444
Foothill College	0.7857142857142857	1.0	0.0	0.6666666666666666	1.0	0.33333333333333337
Santa Rosa Junior College	0.7857142857142857	1.0	0.0	0.6666666666666666	1.0	0.33333333333333337
Los Medanos College	0.7857142857142857	1.0	0.0	0.6111111111111112	1.0	0.38888888888888884
Napa Valley College	0.7857142857142857	1.0	0.0	0.5333333333333333	1.0	0.4666666666666667
Laney College	0.7857142857142857	1.0	0.0	0.6666666666666666	1.0	0.33333333333333337
West Valley College	0.7857142857142857	1.0	0.0	0.6666666666666666	1.0	0.33333333333333337
College of the Redwoods	0.7857142857142857	1.0	0.0	0.7	1.0	0.30000000000000004
Yuba College	0.7857142857142857	1.0	0.0	0.6111111111111112	1.0	0.38888888888888884
Solano Community College	0.7857142857142857	1.0	0.0	0.6111111111111112	1.0	0.38888888888888884
Mendocino College	0.7857142857142857	1.0	0.0	0.6111111111111112	1.0	0.38888888888888884
Irvine Valley College	0.7857142857142857	1.0	0.0	0.6833333333333333	1.0	0.31666666666666665
Columbia College	0.7774725274725275	1.0	0.0	0.5928571428571429	1.0	0.40714285714285714
Merritt College	0.7774725274725275	1.0	0.0	0.6083333333333334	1.0	0.3916666666666666
Lake Tahoe Community College	0.7774725274725275	1.0	0.0	0.525	1.0	0.475
Los Angeles Valley College	0.7774725274725275	1.0	0.0	0.6166666666666667	1.0	0.3833333333333333
Mount San Antonio College	0.775	1.0	0.0	0.6027777777777777	1.0	0.39722222222222225
Imperial Valley College	0.775	1.0	0.0	0.55	1.0	0.44999999999999996
Copper Mountain College	0.775	1.0	0.0	0.575	1.0	0.42500000000000004
Victor Valley College	0.7692307692307693	1.0	0.0	0.6388888888888888	1.0	0.36111111111111116
Glendale Community College	0.7692307692307693	1.0	0.0	0.6388888888888888	1.0	0.36111111111111116
Madera Community College	0.7692307692307693	1.0	0.0	0.6388888888888888	1.0	0.36111111111111116
Cosumnes River College	0.7678571428571428	1.0	0.0	0.6749999999999999	1.0	0.32500000000000007
Citrus College	0.7596153846153846	1.0	0.0	0.625	1.0	0.375
Cuesta College	0.75	1.0	0.0	0.6388888888888888	1.0	0.36111111111111116
Los Angeles Trade Technical College	0.75	1.0	0.0	0.5	1.0	0.5
Los Angeles Harbor College	0.75	1.0	0.0	0.5166666666666666	1.0	0.4833333333333334
Reedley College	0.75	1.0	0.0	0.6388888888888888	1.0	0.36111111111111116
Allan Hancock College	0.75	1.0	0.0	0.5357142857142857	1.0	0.4642857142857143
San Bernardino Valley College	0.75	1.0	0.0	0.5857142857142856	1.0	0.41428571428571437
Woodland Community College	0.75	1.0	0.0	0.6439393939393939	1.0	0.3560606060606061
Santa Ana College	0.7386363636363636	1.0	0.0	0.6027777777777777	1.0	0.39722222222222225
Cypress College	0.7386363636363636	1.0	0.0	0.625	1.0	0.375
Long Beach City College	0.7386363636363636	1.0	0.0	0.6027777777777777	1.0	0.39722222222222225
West Hills College Lemoore	0.7386363636363636	1.0	0.0	0.4583333333333333	1.0	0.5416666666666667
Taft College	0.7386363636363636	1.0	0.0	0.5178571428571428	1.0	0.4821428571428572
Cerritos College	0.7303030303030302	1.0	0.0	0.5928571428571429	1.0	0.40714285714285714
Sierra College	0.7272727272727273	1.0	0.0	0.6111111111111112	1.0	0.38888888888888884
El Camino College	0.7272727272727273	1.0	0.0	0.5857142857142856	1.0	0.41428571428571437
Coastline Community College	0.7272727272727273	1.0	0.0	0.5166666666666666	1.0	0.4833333333333334
Clovis Community College	0.7272727272727273	1.0	0.0	0.6027777777777777	1.0	0.39722222222222225
Barstow Community College	0.7272727272727273	1.0	0.0	0.5857142857142856	1.0	0.41428571428571437
West Hills College Coalinga	0.7272727272727273	1.0	0.0	0.5333333333333333	0.8333333333333334	0.30000000000000004
Porterville College	0.7272727272727273	1.0	0.0	0.6166666666666667	1.0	0.3833333333333333
Compton College	0.7	1.0	0.0	0.5166666666666666	1.0	0.4833333333333334
Lassen Community College	0.7	1.0	0.0	0.5	0.7692307692307693	0.2692307692307693
Feather River College	0.6357142857142857	1.0	0.0	0.5	0.9375	0.4375
Palo Verde College	0.2	1.0	0.0	0.0	0.3393939393939394	0.3393939393939394
